time x y z pitch mu rL Rc gyrophase
8.2938 1.31204 8.09592 7.34404 0.407228 1.01039e-31 0.396064 7.61209e+06 0.1486
8.41947 1.31312 8.16159 7.50914 0.407229 1.01039e-31 0.396066 8.6808e+06 6.25419
8.54513 1.30176 8.22791 7.6736 0.40723 1.01041e-31 0.396069 9.91218e+06 6.07659
8.6708 1.27833 8.29642 7.83587 0.407228 1.01038e-31 0.396064 1.13673e+07 5.89899
8.79646 1.24355 8.36859 7.99447 0.407228 1.01039e-31 0.396065 1.31329e+07 5.72139
8.92212 1.19852 8.44579 8.14804 0.407229 1.0104e-31 0.396068 1.53249e+07 5.54379
9.04779 1.14465 8.52921 8.29539 0.407229 1.01039e-31 0.396066 1.81077e+07 5.36619
9.17345 1.08365 8.61987 8.43551 0.407229 1.01039e-31 0.396066 2.17067e+07 5.18859
9.29911 1.01743 8.71853 8.56762 0.407228 1.01039e-31 0.396066 2.64432e+07 5.011
9.42478 0.948071 8.82573 8.6912 0.407229 1.01039e-31 0.396066 3.27654e+07 4.8334
9.55044 0.877759 8.94172 8.80598 0.407229 1.0104e-31 0.396067 4.13222e+07 4.6558
9.67611 0.808703 9.06649 8.91198 0.407229 1.0104e-31 0.396067 5.30303e+07 4.4782
9.80177 0.743078 9.19974 9.00951 0.407229 1.0104e-31 0.396067 6.92196e+07 4.3006
9.92743 0.682947 9.3409 9.09912 0.407229 1.0104e-31 0.396068 9.18165e+07 4.123
10.0531 0.630202 9.48917 9.18163 0.407229 1.0104e-31 0.396067 1.23513e+08 3.9454
10.1788 0.586502 9.64351 9.25806 0.40723 1.01041e-31 0.396068 1.68202e+08 3.7678
10.3044 0.553222 9.8027 9.32965 0.407229 1.0104e-31 0.396068 2.3125e+08 3.59021
10.4301 0.531408 9.96536 9.39777 0.407229 1.01039e-31 0.396066 3.19972e+08 3.41261
10.5558 0.521748 10.13 9.4639 0.407228 1.01039e-31 0.396065 4.448e+08 3.23501
10.6814 0.524544 10.2951 9.52961 0.40723 1.01041e-31 0.396068 6.19051e+08 3.05741
10.8071 0.53971 10.459 9.59644 0.407228 1.01038e-31 0.396064 8.59873e+08 2.87981
10.9327 0.566767 10.6203 9.66594 0.407229 1.0104e-31 0.396067 1.18513e+09 2.70222
11.0584 0.604865 10.7775 9.73953 0.407229 1.0104e-31 0.396068 1.62285e+09 2.52462
11.1841 0.652806 10.9292 9.81854 0.407229 1.01039e-31 0.396066 2.19688e+09 2.34702
11.3097 0.70908 11.0744 9.90412 0.407229 1.0104e-31 0.396067 2.92907e+09 2.16942
11.4354 0.771918 11.2121 9.99719 0.407229 1.01039e-31 0.396066 3.91617e+09 1.99182
11.5611 0.839343 11.3416 10.0985 0.407229 1.0104e-31 0.396067 5.004e+09 1.81423
11.6867 0.909234 11.4625 10.2084 0.407229 1.01039e-31 0.396066 6.31987e+09 1.63662
11.8124 0.979392 11.5745 10.3271 0.407229 1.01039e-31 0.396066 8.00442e+09 1.45903
11.9381 1.04761 11.6779 10.4546 0.407229 1.0104e-31 0.396067 9.73396e+09 1.28143
12.0637 1.11174 11.7729 10.5903 0.407229 1.01039e-31 0.396066 1.1983e+10 1.10383
12.1894 1.16977 11.8602 10.7338 0.407229 1.0104e-31 0.396067 1.44e+10 0.92623
12.315 1.21987 11.9407 10.8841 0.407229 1.0104e-31 0.396067 1.63095e+10 0.74863
12.4407 1.26047 12.0154 11.0401 0.407229 1.0104e-31 0.396067 1.98936e+10 0.571033
12.5664 1.29028 12.0858 11.2005 0.407229 1.0104e-31 0.396067 2.11568e+10 0.393433
12.692 1.30837 12.1531 11.3639 0.407229 1.0104e-31 0.396067 2.57349e+10 0.215835
12.8177 1.31418 12.219 11.5289 0.407229 1.0104e-31 0.396067 3.0024e+10 0.0382373
