it time x y z u v w Bx By Bz
118 7.41416 1.00556 7.53242 6.29212 0.551172 0.847701 0.988743 0 1 0.999999
120 7.53982 1.07248 7.63254 6.42278 0.524883 0.779957 1.05649 0 1 1
122 7.66549 1.13453 7.72453 6.56156 0.482083 0.716562 1.11988 0 1 1
124 7.79115 1.18976 7.80914 6.70772 0.424116 0.659511 1.17693 0 1 1
126 7.91681 1.23644 7.88734 6.8603 0.352808 0.610599 1.22584 0 1 1
128 8.04248 1.27308 7.96029 7.01812 0.270401 0.571364 1.26508 0 1 1
130 8.16814 1.29855 8.02933 7.17985 0.179487 0.543041 1.2934 0 1 1
132 8.2938 1.31204 8.09592 7.34404 0.0829276 0.526521 1.30992 0 1 1
134 8.41947 1.31312 8.16159 7.50914 -0.0162411 0.522322 1.31412 0 1 1
136 8.54513 1.30176 8.22791 7.6736 -0.114899 0.530578 1.30587 0 1 1
138 8.6708 1.27833 8.29642 7.83587 -0.209942 0.551029 1.28541 0 1 1
140 8.79646 1.24355 8.36859 7.99447 -0.298381 0.583031 1.25341 0 1 1
142 8.92212 1.19852 8.44579 8.14804 -0.377433 0.625578 1.21087 0 1 1
144 9.04779 1.14465 8.52921 8.29539 -0.444612 0.67733 1.15911 0 1 1
146 9.17345 1.08365 8.61987 8.43551 -0.497804 0.736661 1.09978 0 1 1
148 9.29911 1.01743 8.71853 8.56762 -0.535335 0.801704 1.03474 0 1 1
150 9.42478 0.948071 8.82573 8.6912 -0.556026 0.870411 0.966032 0 1 1
152 9.55044 0.877759 8.94172 8.80598 -0.559226 0.940623 0.89582 0 1 1
154 9.67611 0.808703 9.06649 8.91198 -0.544833 1.01013 0.826313 0 1 1
156 9.80177 0.743078 9.19974 9.00951 -0.5133 1.07675 0.759697 0 1 1
158 9.92743 0.682947 9.3409 9.09912 -0.46562 1.13838 0.698068 0 1 1
160 10.0531 0.630202 9.48917 9.18163 -0.403292 1.19308 0.643365 0 1 1
162 10.1788 0.586502 9.64351 9.25806 -0.328277 1.23914 0.597308 0 1 1
164 10.3044 0.553222 9.8027 9.32965 -0.242935 1.2751 0.561347 0 1 1
166 10.4301 0.531408 9.96536 9.39777 -0.149951 1.29983 0.536612 0 1 1
168 10.5558 0.521748 10.13 9.4639 -0.0522495 1.31256 0.523883 0 1 1
170 10.6814 0.524544 10.2951 9.52961 0.0470957 1.31289 0.523558 0 1 1
172 10.8071 0.53971 10.459 9.59644 0.144959 1.30079 0.535649 0 1 1
174 10.9327 0.566767 10.6203 9.66594 0.238263 1.27667 0.559775 0 1 1
176 11.0584 0.604865 10.7775 9.73953 0.324071 1.24127 0.595178 0 1 1
178 11.1841 0.652806 10.9292 9.81854 0.399684 1.1957 0.640742 0 1 1
180 11.3097 0.70908 11.0744 9.90412 0.462724 1.14141 0.695036 0 1 1
182 11.4354 0.771918 11.2121 9.99719 0.511207 1.08009 0.756351 0 1 1
184 11.5611 0.839343 11.3416 10.0985 0.543609 1.01369 0.822758 0 1 1
186 11.6867 0.909234 11.4625 10.2084 0.558909 0.944275 0.892169 0 1 1
188 11.8124 0.979392 11.5745 10.3271 0.556627 0.874045 0.962398 0 1 1
190 11.9381 1.04761 11.6779 10.4546 0.536835 0.805205 1.03124 0 1 1
192 12.0637 1.11174 11.7729 10.5903 0.500154 0.73992 1.09652 0 1 1
194 12.1894 1.16977 11.8602 10.7338 0.44774 0.680245 1.1562 0 1 1
196 12.315 1.21987 11.9407 10.8841 0.38124 0.628055 1.20839 0 1 1
198 12.4407 1.26047 12.0154 11.0401 0.302747 0.584994 1.25145 0 1 1
200 12.5664 1.29028 12.0858 11.2005 0.21473 0.552416 1.28403 0 1 1
202 12.692 1.30837 12.1531 11.3639 0.119958 0.531345 1.3051 0 1 1
204 12.8177 1.31418 12.219 11.5289 0.0214124 0.522445 1.314 0 1 1
206 12.9434 1.30751 12.2849 11.6937 -0.0778069 0.525995 1.31045 0 1 1
208 13.069 1.28858 12.3524 11.857 -0.174578 0.541885 1.29456 0 1 1
210 13.1947 1.25799 12.423 12.0172 -0.265858 0.569613 1.26683 0 1 1
212 13.3204 1.21669 12.4981 12.1728 -0.348774 0.608308 1.22814 0 1 1
214 13.446 1.16598 12.5791 12.3226 -0.420718 0.656752 1.17969 0 1 1
216 13.5717 1.10747 12.6669 12.4656 -0.479428 0.713422 1.12302 0 1 1
218 13.6973 1.04298 12.7624 12.6008 -0.523055 0.776534 1.05991 0 1 1
220 13.823 0.974561 12.8664 12.7277 -0.550227 0.844104 0.99234 0 1 1
222 13.9487 0.90435 12.979 12.8458 -0.560091 0.914005 0.922439 0 1 1
224 14.0743 0.834559 13.1005 12.9551 -0.552334 0.984039 0.852405 0 1 1
226 14.2 0.767385 13.2306 13.0558 -0.527203 1.052 0.784441 0 1 1
228 14.3257 0.704941 13.3688 13.1483 -0.485486 1.11576 0.720686 0 1 1
230 14.4513 0.649191 13.5145 13.2334 -0.428496 1.1733 0.663146 0 1 1
232 14.577 0.601888 13.6667 13.312 -0.358027 1.22281 0.613629 0 1 1
234 14.7027 0.564521 13.8242 13.3853 -0.276295 1.26275 0.573695 0 1 1
236 14.8283 0.538266 13.9857 13.4545 -0.185871 1.29185 0.544598 0 1 1
238 14.954 0.523948 14.1498 13.5212 -0.0895999 1.30919 0.527256 0 1 1
240 15.0796 0.522017 14.3149 13.5869 0.00948995 1.31423 0.522212 0 1 1
242 15.2053 0.532535 14.4794 13.6531 0.108281 1.30682 0.529627 0 1 1
244 15.331 0.555171 14.6419 13.7215 0.203666 1.28718 0.549266 0 1 1
246 15.4566 0.589212 14.8008 13.7933 0.292644 1.25593 0.580512 0 1 1
248 15.5823 0.633588 14.9547 13.8702 0.372416 1.21406 0.622381 0 1 1
