time x y z pitch mu rL Rc
3.06e-09 2.71311e-07 0.100003 3.28753e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.12e-09 2.15992e-07 0.100003 5.36974e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.18e-09 7.27338e-09 0.100003 5.14109e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
3.24e-09 9.30213e-09 0.100003 3.10348e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.3e-09 2.18539e-07 0.100003 2.91487e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.36e-09 2.69932e-07 0.100003 5.0073e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.42e-09 7.38169e-08 0.100003 5.83312e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.48e-09 -2.7648e-08 0.100003 4.05451e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
3.54e-09 1.42562e-07 0.100004 2.87756e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.6e-09 2.87484e-07 0.100004 4.45864e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.66e-09 1.54276e-07 0.100004 6.14225e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.72e-09 -2.46572e-08 0.100004 5.094e-07 1.47145 4.48745e-23 5.63008e-08 1.02512
3.78e-09 6.28663e-08 0.100004 3.24573e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.84e-09 2.64146e-07 0.100004 3.92506e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.9e-09 2.28012e-07 0.100004 6.04975e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3.96e-09 1.75075e-08 0.100004 6.01587e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.02e-09 -1.0479e-10 0.100004 3.9855e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.08e-09 2.05903e-07 0.100004 3.60397e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.14e-09 2.76113e-07 0.100004 5.63991e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.2e-09 8.80309e-08 0.100004 6.64422e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.26e-09 -3.01997e-08 0.100004 4.96768e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
4.32e-09 1.27696e-07 0.100004 3.6383e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.38e-09 2.8624e-07 0.100004 5.07839e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.44e-09 1.68824e-07 0.100004 6.87844e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.5e-09 -1.96991e-08 0.100004 6.0009e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.56e-09 4.95842e-08 0.100005 4.07978e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.62e-09 2.55796e-07 0.100005 4.5698e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.68e-09 2.39163e-07 0.100005 6.71901e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.74e-09 2.87037e-08 0.100005 6.8807e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.8e-09 -8.39664e-09 0.100005 4.87575e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.86e-09 1.9259e-07 0.100005 4.30514e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.92e-09 2.81006e-07 0.100005 6.26737e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
4.98e-09 1.02593e-07 0.100005 7.44196e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.04e-09 -3.13744e-08 0.100005 5.88259e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.1e-09 1.12834e-07 0.100005 4.41285e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.16e-09 2.8362e-07 0.100005 5.69994e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.22e-09 1.83017e-07 0.100005 7.60128e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.28e-09 -1.34552e-08 0.100005 6.90261e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.34e-09 3.69848e-08 0.100005 4.92587e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.4e-09 2.46336e-07 0.100005 5.22281e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.46e-09 2.49347e-07 0.100005 7.37835e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.52e-09 4.07647e-08 0.100005 7.73473e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
5.58e-09 -1.55012e-08 0.100006 5.77316e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.64e-09 1.78715e-07 0.100006 5.01893e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.7e-09 2.84568e-07 0.100006 6.89091e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.76e-09 1.17378e-07 0.100006 8.22607e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.82e-09 -3.11617e-08 0.100006 6.79796e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.88e-09 9.81034e-08 0.100006 5.20115e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.94e-09 2.79647e-07 0.100006 6.32455e-07 1.47145 4.48745e-23 5.63008e-08 1.02512
6e-09 1.96733e-07 0.100006 8.31115e-07 1.47145 4.48747e-23 5.63009e-08 1.02512
6.06e-09 -5.97978e-09 0.100006 7.79795e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.12e-09 2.51777e-08 0.100006 5.7833e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.18e-09 2.35846e-07 0.100006 5.8851e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.24e-09 2.58475e-07 0.100006 8.02872e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.3e-09 5.35855e-08 0.100006 8.5772e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.36e-09 -2.13567e-08 0.100006 6.6766e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.42e-09 1.64399e-07 0.100006 5.74583e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.48e-09 2.86768e-07 0.100006 7.51177e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.54e-09 1.32255e-07 0.100006 8.9964e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.6e-09 -2.95636e-08 0.100007 7.71248e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.66e-09 8.36338e-08 0.100007 6.00303e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.72e-09 2.74354e-07 0.100007 6.95347e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.78e-09 2.09851e-07 0.100007 9.00856e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.84e-09 2.66212e-09 0.100007 8.68581e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.9e-09 1.42657e-08 0.100007 6.65128e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6.96e-09 2.24418e-07 0.100007 6.55757e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.02e-09 2.6647e-07 0.100007 8.67114e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.08e-09 6.70545e-08 0.100007 9.40747e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.14e-09 -2.5912e-08 0.100007 7.58487e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.2e-09 1.49767e-07 0.100007 6.48618e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.26e-09 2.87588e-07 0.100007 8.13123e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.32e-09 1.47097e-07 0.100007 9.75292e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.38e-09 -2.65938e-08 0.100007 8.62489e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.44e-09 6.95506e-08 0.100007 6.81817e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.5e-09 2.67789e-07 0.100007 7.58789e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.56e-09 2.22258e-07 0.100007 9.69411e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.62e-09 1.23954e-08 0.100008 9.56513e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.68e-09 4.34387e-09 0.100008 7.52896e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.74e-09 2.12151e-07 0.100008 7.24105e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.8e-09 2.7326e-07 0.100008 9.30669e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.86e-09 8.10547e-08 0.100008 1.0225e-06 1.47145 4.48746e-23 5.63008e-08 1.02512
7.92e-09 -2.91275e-08 0.100008 8.49676e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.98e-09 1.34946e-07 0.100008 7.24021e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.04e-09 2.87019e-07 0.100008 8.75058e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.1e-09 1.61773e-07 0.100008 1.04957e-06 1.47145 4.48746e-23 5.63008e-08 1.02512
8.16e-09 -2.22781e-08 0.100008 9.53392e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.22e-09 5.59764e-08 0.100008 7.64617e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.28e-09 2.60007e-07 0.100008 8.22899e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.34e-09 2.33846e-07 0.100008 1.03685e-06 1.47145 4.48746e-23 5.63008e-08 1.02512
8.4e-09 2.31353e-08 0.100008 1.04349e-06 1.47145 4.48746e-23 5.63008e-08 1.02512
8.46e-09 -4.50149e-09 0.100008 8.41535e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.52e-09 1.99153e-07 0.100008 7.93627e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.58e-09 2.78786e-07 0.100008 9.93651e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.64e-09 9.54641e-08 0.100009 1.10293e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
8.7e-09 -3.09752e-08 0.100009 9.41101e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
8.76e-09 1.20065e-07 0.100009 8.00805e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
8.82e-09 2.85067e-07 0.100009 9.37109e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
8.88e-09 1.76156e-07 0.100009 1.1225e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
8.94e-09 -1.6654e-08 0.100009 1.04383e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9e-09 4.30294e-08 0.100009 8.4865e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
9.06e-09 2.51078e-07 0.100009 8.87785e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
9.12e-09 2.44513e-07 0.100009 1.10326e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9.18e-09 3.47886e-08 0.100009 1.12944e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9.24e-09 -1.21933e-08 0.100009 9.30944e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
9.3e-09 1.85536e-07 0.100009 8.64385e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
9.36e-09 2.83001e-07 0.100009 1.05618e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9.42e-09 1.10157e-07 0.100009 1.18201e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9.48e-09 -3.14388e-08 0.100009 1.03263e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9.54e-09 1.05253e-07 0.100009 8.78969e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
9.6e-09 2.81749e-07 0.100009 9.99406e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
9.66e-09 1.9012e-07 0.10001 1.19412e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9.72e-09 -9.77047e-09 0.10001 1.13369e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9.78e-09 3.08223e-08 0.10001 9.33851e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
9.84e-09 2.41077e-07 0.10001 9.5355e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
9.9e-09 2.54167e-07 0.10001 1.16872e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
9.96e-09 4.72537e-08 0.10001 1.21426e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.002e-08 -1.86647e-08 0.10001 1.02101e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.008e-08 1.71418e-07 0.10001 9.36433e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
1.014e-08 2.85868e-07 0.10001 1.11838e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.02e-08 1.25007e-07 0.10001 1.25971e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.026e-08 -3.05143e-08 0.10001 1.12415e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.032e-08 9.06394e-08 0.10001 9.585e-07 1.47145 4.48746e-23 5.63008e-08 1.02513
1.038e-08 2.77094e-07 0.10001 1.06207e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.044e-08 2.03545e-07 0.10001 1.26446e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.05e-08 -1.68728e-09 0.10001 1.22286e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.056e-08 1.94612e-08 0.10001 1.02015e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.062e-08 2.30093e-07 0.100011 1.02029e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.068e-08 2.62723e-07 0.100011 1.23334e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.074e-08 6.04223e-08 0.100011 1.29789e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.08e-08 -2.38591e-08 0.100011 1.11162e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.086e-08 1.56923e-07 0.100011 1.00981e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.092e-08 2.87362e-07 0.100011 1.18038e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.098e-08 1.39883e-07 0.100011 1.33604e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.104e-08 -2.82098e-08 0.100011 1.21551e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.11e-08 7.63515e-08 0.100011 1.03938e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.116e-08 2.71141e-07 0.100011 1.12523e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.122e-08 2.16313e-07 0.100011 1.33359e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.128e-08 7.52525e-09 0.100011 1.31122e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.134e-08 9.04517e-09 0.100011 1.10746e-06 1.47145 4.48745e-23 5.63008e-08 1.02513
1.14e-08 2.18221e-07 0.100011 1.08809e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.146e-08 2.70108e-07 0.100011 1.29721e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.152e-08 7.41798e-08 0.100011 1.38027e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.158e-08 -2.77315e-08 0.100011 1.20265e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.164e-08 1.42177e-07 0.100012 1.08455e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.17e-08 2.87469e-07 0.100012 1.24231e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
1.176e-08 1.54657e-07 0.100012 1.41099e-06 1.47145 4.48746e-23 5.63008e-08 1.02513
